run_name,model_type,modalities,loss,configured_epochs,status,completed_epochs,validation_loss,mae,rmse,pearson,threshold_accuracy,threshold_f1,best_checkpoint
fi_v2_mag_bert_arl_bce,arl,text_audio_visual,bce,25,complete,19,0.6820987818717003,0.09857963964067262,0.12430577432106259,0.5622201296842881,0.6913456728364182,0.717361429225836,D:\FairHireAI-data\runs\fi_v2_mag_bert_arl_bce\best.pt
fi_v2_mag_bert_arl_mse,arl,text_audio_visual,mse,25,complete,19,0.015394011322443085,0.09829602938046629,0.1240726049812236,0.5642106771240689,0.6928464232116058,0.7090047393364929,D:\FairHireAI-data\runs\fi_v2_mag_bert_arl_mse\best.pt
fi_v2_mag_bert_arl_mse_bce,arl,text_audio_visual,mse_bce,25,complete,19,0.6971317577684086,0.09802204312355056,0.12374670991054124,0.5648364337021962,0.6943471735867934,0.7121997173810645,D:\FairHireAI-data\runs\fi_v2_mag_bert_arl_mse_bce\best.pt
fi_v2_mag_bert_text_audio,mag,text_audio,mse,15,complete,11,0.017503363602621117,0.10483388460356334,0.13230027825855808,0.46279542831827075,0.6568284142071036,0.6948398576512456,D:\FairHireAI-data\runs\fi_v2_mag_bert_text_audio\best.pt
fi_v2_mag_bert,mag,text_audio_visual,mse,15,complete,11,0.014294303843843077,0.09488766413441058,0.11955878808565437,0.5967589297175386,0.7078539269634817,0.7378815080789947,D:\FairHireAI-data\runs\fi_v2_mag_bert\best.pt
fi_v2_mag_bert_text_visual,mag,text_visual,mse,15,complete,9,0.014930283270466983,0.09728861242726543,0.1221895386206638,0.5466671801799907,0.6853426713356678,0.7292294446835987,D:\FairHireAI-data\runs\fi_v2_mag_bert_text_visual\best.pt
fi_v2_text_baseline,text,text,mse,8,complete,4,0.019006440062472083,0.10919563966491569,0.13786384635464674,0.3478918012453907,0.624312156078039,0.6791969243912857,D:\FairHireAI-data\runs\fi_v2_text_baseline\best.pt
